"region_sido","region_sigungu","doctor_level","treated","shock_year","n_obs","population_median","outcome_mean","pre_mean","post_mean","pre_beta","post_beta","delta_beta","pre_beta_pop_ctrl","post_beta_pop_ctrl","delta_beta_pop_ctrl","control_beta","control_beta_pop_ctrl"
"광주","광산구","일반의",TRUE,2015,18,397011,35.2222222222222,31.7142857142857,37.4545454545455,2.71428571428549,1.24545454545453,-1.46883116883096,-6.23649049182918,-0.774845715525669,5.46164477630351,NA,NA
"광주","광산구","전문의",TRUE,2015,18,397011,563.222222222222,439.857142857143,641.727272727273,30.7142857142884,14.3272727272731,-16.3870129870153,42.8950824469574,17.3276269399144,-25.567455507043,NA,NA
"광주","남구","total",TRUE,2015,18,216311.5,440.777777777778,367.142857142857,487.636363636364,8.92857142857034,7.18181818181816,-1.74675324675218,15.9001903254231,9.33835527353911,-6.56183505188402,NA,NA
"광주","남구","레지던트",TRUE,2015,18,216311.5,38.3888888888889,50,31,-2.82142857142854,-3.70909090909063,-0.887662337662094,0.272485973834322,-4.80687747270692,-5.07936344654124,NA,NA
"광주","남구","인턴",TRUE,2015,18,216311.5,7.61111111111111,7.42857142857143,7.72727272727273,-0.428571428572115,0.0181818181818237,0.446753246753939,1.93694606241819,1.16353972461576,-0.773406337802431,NA,NA
"광주","남구","일반의",TRUE,2015,18,216311.5,20.5,17.7142857142857,22.2727272727273,0.535714285714261,0.727272727272751,0.19155844155849,-0.468770217609529,0.732343354085342,1.20111357169487,NA,NA
"광주","남구","전문의",TRUE,2015,18,216311.5,374.277777777778,292,426.636363636364,11.6428571428576,10.1454545454545,-1.49740259740315,14.1595285067759,12.2493496675453,-1.91017883923058,NA,NA
"광주","동구","total",TRUE,2015,18,103959.5,934.833333333333,920.714285714286,943.818181818182,6.35714285714223,-7.42727272727269,-13.7844155844149,19.6283116098846,-29.5131002271491,-49.1414118370336,NA,NA
"광주","동구","레지던트",TRUE,2015,18,103959.5,296.5,344.714285714286,265.818181818182,-1.07142857142859,-19.2181818181818,-18.1467532467533,-0.429400175755426,-37.1998618804835,-36.7704617047281,NA,NA
"광주","동구","인턴",TRUE,2015,18,103959.5,63.5555555555556,70.7142857142857,59,-8.42857142857147,0.563636363636247,8.99220779220772,-0.924932954293568,-0.658336790541254,0.266596163752315,NA,NA
"광주","동구","일반의",TRUE,2015,18,103959.5,16.7777777777778,15.8571428571429,17.3636363636364,-1.50000000000014,0.854545454545383,2.35454545454553,-3.82142504637747,1.64399383343669,5.46541887981416,NA,NA
"광주","동구","전문의",TRUE,2015,18,103959.5,558,489.428571428571,601.636363636364,17.3571428571438,10.3727272727274,-6.98441558441643,24.8040697863265,6.70110461044001,-18.1029651758865,NA,NA
"광주","북구","total",TRUE,2015,18,440419.5,668.666666666667,540.714285714286,750.090909090909,22.5357142857138,16.390909090909,-6.14480519480487,19.2220144958106,-0.146894605458861,-19.3689091012695,NA,NA
"광주","북구","일반의",TRUE,2015,18,440419.5,33.7777777777778,21.8571428571429,41.3636363636364,0.678571428571565,1.16363636363629,0.485064935064729,1.54037555715754,-1.86490106051825,-3.40527661767579,NA,NA
