"region_sido","region_sigungu","hospital_type","treated","shock_year","n_obs","population_median","outcome_mean","pre_mean","post_mean","pre_beta","post_beta","delta_beta","pre_beta_pop_ctrl","post_beta_pop_ctrl","delta_beta_pop_ctrl","control_beta","control_beta_pop_ctrl"
"경남","산청군","의원",TRUE,2013,18,35504,12.7222222222222,12.4,12.8461538461538,-0.399999999999994,0.335164835164837,0.735164835164831,-0.361435272954159,0.523040082795695,0.884475355749854,NA,NA
"경남","의령군","병원",TRUE,2013,18,27980,1.77777777777778,1.8,1.76923076923077,-0.400000000000014,-0.170329670329671,0.229670329670343,-0.424966453947136,0.0503679437070959,0.475334397654231,NA,NA
"경남","의령군","의원",TRUE,2013,18,27980,10.8888888888889,12,10.4615384615385,-0.300000000000007,-0.0494505494505449,0.250549450549462,-0.490921829549515,0.459994815629996,0.950916645179511,NA,NA
"경남","진주시","병원",TRUE,2013,18,340657.5,13.6666666666667,14.6,13.3076923076923,0.299999999999962,0.115384615384615,-0.184615384615347,-0.24431746551096,0.10415314056693,0.34847060607789,NA,NA
"경남","진주시","상급종합병원",TRUE,2013,18,340657.5,1,1,1,3.9333805539641e-17,5.69363219125371e-20,-3.92768692177285e-17,-2.87306404878536e-16,4.81662955952351e-20,2.87354571174131e-16,NA,NA
"경남","진주시","의원",TRUE,2013,18,340657.5,179.5,152.4,189.923076923077,0.899999999999861,5.00549450549456,4.1054945054947,-0.681597790936893,5.06702424270138,5.74862203363827,NA,NA
"경남","진주시","종합병원",TRUE,2013,18,340657.5,2.66666666666667,2.8,2.61538461538462,0.199999999999972,0.0824175824175923,-0.117582417582379,0.448108893016411,0.0782275190312237,-0.369881373985188,NA,NA
"경남","창원시","병원",TRUE,2011,18,2098341,42.8333333333333,39.3333333333333,43.5333333333333,6.50000000000197,0.110714285714285,-6.38928571428768,8.98130375157732,-2.93587048713373,-11.917174238711,NA,NA
"경남","창원시","상급종합병원",TRUE,2011,18,2098341,0.277777777777778,0,0.333333333333333,0,0.0892857142857146,0.0892857142857146,0,-0.0927806666456381,-0.0927806666456381,NA,NA
"경남","창원시","의원",TRUE,2011,18,2098341,551.222222222222,520.666666666667,557.333333333333,5.99999999999787,6.20357142857138,0.20357142857351,2.02991399748616,5.38813479035916,3.358220792873,NA,NA
"경남","창원시","종합병원",TRUE,2011,18,2098341,9.94444444444444,10,9.93333333333333,-1.99409374430739e-15,-0.0964285714285728,-0.0964285714285708,-3.97327465980179e-15,0.442923252956235,0.442923252956239,NA,NA
"경남","통영시","병원",FALSE,NA,18,136054,6.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,-0.0815273477812139,0.393626206739603
"경남","통영시","의원",FALSE,NA,18,136054,74.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,0.305469556243528,1.54556880594743
"경남","통영시","종합병원",FALSE,NA,18,136054,0.222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,0.0577915376676984,-0.0178486056680986
"경남","하동군","병원",TRUE,2012,18,49027,1.77777777777778,2,1.71428571428571,0,-0.127472527472534,-0.127472527472534,0,0.222586709701499,0.222586709701499,NA,NA
