year,station_name,terminal_station,ktx_travel_time_min,ktx_travel_time_median,ktx_travel_time_mean,interval_minutes,n_trains
2013,천안아산역,서울역,28,38.0,36.41463414634146,34.625,41
2013,천안아산역,용산역,36,36.0,38.142857142857146,76.15384615384616,14
2013,함안역,서울역,193,197.0,197.0,297.0,2
2014,계룡역,용산역,70,81.0,80.5,87.22222222222223,10
2014,곡성역,용산역,179,182.0,182.0,559.0,2
2014,광명역,서울역,9,15.0,17.196428571428573,26.09090909090909,56
2014,광명역,용산역,13,13.0,16.107142857142858,51.148148148148145,28
2014,광주송정역,용산역,150,166.0,168.58333333333334,88.45454545454545,12
2014,광주역,용산역,176,182.0,183.9,108.33333333333333,10
2014,구례구역,용산역,173,178.0,178.0,888.0,2
2014,김제역,용산역,122,128.0,128.42857142857142,149.0,7
2014,김천(구미)역,서울역,85,91.0,92.7,55.21052631578947,20
2014,나주역,용산역,175,180.5,182.16666666666666,161.2,6
2014,남원역,용산역,149,162.5,161.5,127.0,8
2014,논산역,용산역,83,90.0,90.83333333333333,179.0,6
2014,대전역,서울역,50,61.0,63.1764705882353,16.726190476190474,85
2014,동대구역,서울역,103,115.0,117.25925925925925,13.4375,81
2014,마산역,서울역,174,182.5,183.5,87.27272727272727,12
2014,목포역,용산역,184,202.0,204.0,88.63636363636364,12
2014,밀양역,서울역,142,147.0,148.375,136.85714285714286,8
2014,부산역,서울역,137,167.0,170.4,15.72463768115942,70
2014,서대전역,용산역,51,61.0,62.16129032258065,46.03333333333333,31
2014,순천역,용산역,179,191.0,192.88888888888889,119.375,9
2014,신경주역,서울역,128,141.5,142.11904761904762,24.365853658536587,42
2014,여수엑스포역,용산역,201,212.0,214.22222222222223,119.375,9
2014,여천역,용산역,193,204.0,206.875,136.42857142857142,8
2014,오송역,서울역,40,48.0,48.2,36.724137931034484,30
2014,오송역,용산역,42,48.0,47.857142857142854,78.83333333333333,7
2014,울산역,서울역,129,152.0,154.95744680851064,23.32608695652174,47
2014,익산역,용산역,101,113.0,114.7741935483871,35.0,31
2014,장성역,용산역,152,159.5,160.0,73.27272727272727,12
2014,전주역,용산역,122,135.0,135.22222222222223,118.75,9
2014,정읍역,용산역,130,142.0,142.13333333333333,69.64285714285714,15
2014,진영역,서울역,161,167.0,169.0,290.0,4
2014,진주역,서울역,201,212.5,214.16666666666666,152.6,6
2014,창원역,서울역,170,179.0,180.66666666666666,174.0,6
2014,창원중앙역,서울역,163,167.0,169.28571428571428,118.5,7
2014,천안아산역,서울역,28,38.0,38.0,34.09756097560975,42
2014,천안아산역,용산역,36,36.0,39.1875,66.0,16
2014,함안역,서울역,202,208.0,208.0,521.0,2
2015,곡성역,용산역,121,139.5,137.75,205.33333333333334,4
2015,공주역,용산역,60,70.0,76.1923076923077,35.12,26
2015,광명역,서울역,10,17.0,18.859375,22.682539682539684,64
2015,광명역,용산역,13,14.0,15.942857142857143,41.0,35
2015,광주송정역,용산역,93,114.0,112.875,45.130434782608695,24
2015,구례구역,용산역,136,152.0,148.5,258.3333333333333,4
2015,김천(구미)역,서울역,83,88.0,93.11111111111111,38.07692307692308,27
2015,나주역,용산역,108,130.0,127.3076923076923,83.75,13
2015,남원역,용산역,111,125.0,125.0,107.0,10
2015,대전역,서울역,52,63.0,65.1978021978022,15.655555555555555,91
2015,동대구역,서울역,98,110.0,112.88505747126437,12.569767441860465,87
2015,마산역,서울역,169,180.5,182.66666666666666,87.54545454545455,12
2015,목포역,용산역,135,155.5,153.8125,67.0,16
2015,밀양역,서울역,141,145.0,148.55555555555554,119.75,9
2015,부산역,서울역,148,162.0,167.86153846153846,17.03125,65
2015,순천역,용산역,145,157.0,158.0,107.33333333333333,10
2015,신경주역,서울역,122,136.0,137.35897435897436,27.210526315789473,39
2015,여수엑스포역,용산역,167,179.0,179.5,107.22222222222223,10
2015,여천역,용산역,159,166.0,170.44444444444446,120.75,9
2015,오송역,서울역,42,50.5,50.3125,34.354838709677416,32
2015,오송역,용산역,41,50.0,49.935483870967744,34.63333333333333,31
2015,울산역,서울역,126,143.5,150.04545454545453,24.697674418604652,44
2015,익산역,용산역,64,83.0,87.09302325581395,24.714285714285715,43
2015,전주역,용산역,84,98.0,98.0,107.11111111111111,10
2015,정읍역,용산역,88,99.0,98.47368421052632,57.666666666666664,19
2015,진영역,서울역,158,164.5,167.5,291.0,4
2015,진주역,서울역,195,204.0,207.5,165.0,6
2015,창원역,서울역,170,178.0,179.83333333333334,175.4,6
2015,창원중앙역,서울역,158,167.0,168.125,137.28571428571428,8
2015,천안아산역,서울역,28,40.0,40.022222222222226,32.09090909090909,45
2015,천안아산역,용산역,34,37.0,38.73913043478261,62.13636363636363,23
2015,포항역,서울역,136,151.0,152.1,109.44444444444444,10
2016,경산역,서울역,127,127.0,127.0,,1
2016,경산역,용산역,124,124.0,124.0,,1
2016,계룡역,서울역,87,87.0,87.0,,1
2016,계룡역,용산역,77,81.5,80.625,103.42857142857143,8
2016,곡성역,서울역,150,153.5,153.5,642.0,2
2016,곡성역,용산역,132,137.0,138.4,160.5,5
2016,공주역,서울역,70,76.0,76.71428571428571,145.0,7
2016,공주역,용산역,59,67.0,65.66666666666667,63.142857142857146,15
2016,광명역,서울역,14,15.5,18.387096774193548,23.016393442622952,62
2016,광명역,용산역,13,14.0,15.439024390243903,34.55,41
2016,광주송정역,서울역,103,120.0,126.0,145.83333333333334,7
2016,광주송정역,용산역,98,115.0,117.82608695652173,46.77272727272727,23
2016,구례구역,서울역,154,161.0,159.0,389.5,3
2016,구례구역,용산역,140,150.5,154.83333333333334,185.8,6
2016,구포역,서울역,163,170.5,170.75,138.28571428571428,8
2016,구포역,용산역,178,178.0,178.0,,1
2016,김천(구미)역,서울역,83,90.0,90.92,42.666666666666664,25
2016,김천(구미)역,용산역,84,88.5,87.75,273.3333333333333,4
2016,나주역,서울역,132,145.5,148.75,291.6666666666667,4
2016,나주역,용산역,110,131.5,134.5,76.46153846153847,14
2016,남원역,서울역,133,141.5,140.75,261.0,4
2016,남원역,용산역,117,128.0,131.15384615384616,83.91666666666667,13
2016,논산역,서울역,105,105.0,105.0,,1
2016,논산역,용산역,95,99.0,98.375,103.42857142857143,8
2016,대전역,서울역,53,66.0,67.41772151898734,18.128205128205128,79
2016,대전역,용산역,54,63.0,61.916666666666664,82.27272727272727,12
2016,동대구역,서울역,95,110.0,111.20779220779221,14.197368421052632,77
2016,동대구역,용산역,96,105.5,105.91666666666667,82.27272727272727,12
2016,마산역,서울역,168,182.0,181.45454545454547,90.3,11
2016,마산역,용산역,173,182.0,179.33333333333334,445.0,3
2016,목포역,서울역,139,173.0,169.2,218.75,5
2016,목포역,용산역,134,157.0,159.27777777777777,58.529411764705884,18
2016,밀양역,서울역,133,145.5,144.875,68.46666666666667,16
2016,밀양역,용산역,139,143.0,144.0,295.6666666666667,4
2016,부산역,서울역,135,162.0,164.63636363636363,20.27777777777778,55
2016,부산역,용산역,146,156.5,160.83333333333334,174.0,6
2016,서대전역,서울역,72,74.5,74.5,644.0,2
2016,서대전역,용산역,62,67.0,66.5,88.0,10
2016,수원역,서울역,27,30.0,30.25,229.33333333333334,4
2016,순천역,서울역,168,176.5,175.25,259.6666666666667,4
2016,순천역,용산역,147,163.0,164.3846153846154,84.16666666666667,13
2016,신경주역,서울역,123,132.0,131.73333333333332,68.85714285714286,15
2016,신경주역,용산역,124,124.0,124.0,,1
2016,여수엑스포역,서울역,188,198.0,196.5,260.0,4
2016,여수엑스포역,용산역,169,183.0,185.6153846153846,84.16666666666667,13
2016,여천역,서울역,190,192.0,192.0,390.0,3
2016,여천역,용산역,161,176.0,175.8,112.33333333333333,10
2016,영등포역,서울역,9,9.0,9.0,691.0,2
2016,오송역,서울역,45,53.0,52.95918367346939,29.6875,49
2016,오송역,용산역,44,51.0,51.064516129032256,34.733333333333334,31
2016,용산역,서울역,5,5.0,6.916666666666667,79.36363636363636,12
2016,울산역,서울역,130,140.0,142.48275862068965,38.535714285714285,29
2016,울산역,용산역,123,132.0,130.66666666666666,325.0,3
2016,익산역,서울역,74,94.0,94.36363636363636,86.9,11
2016,익산역,용산역,69,83.0,88.6829268292683,26.025,41
2016,전주역,서울역,106,115.0,114.0,261.3333333333333,4
2016,전주역,용산역,90,101.0,104.23076923076923,84.0,13
2016,정읍역,서울역,102,115.0,111.0,437.5,3
2016,정읍역,용산역,90,99.0,102.42857142857143,73.92307692307692,14
2016,진영역,서울역,157,165.0,165.25,202.66666666666666,4
2016,진영역,용산역,158,159.5,159.5,888.0,2
2016,진주역,서울역,193,207.0,206.0,166.0,6
2016,창원역,서울역,169,181.0,179.4,226.0,5
2016,창원역,용산역,177,177.0,177.0,891.0,2
2016,창원중앙역,서울역,157,170.0,168.25,98.57142857142857,8
2016,창원중앙역,용산역,162,165.5,165.5,448.0,2
2016,천안아산역,서울역,35,39.5,40.54761904761905,33.90243902439025,42
2016,천안아산역,용산역,34,38.0,38.88461538461539,36.16,26
2016,포항역,서울역,146,150.0,151.8,95.0,10
2016,포항역,용산역,141,142.0,143.0,365.0,3
2017,경산역,서울역,127,127.0,127.0,,1
2017,경산역,용산역,124,124.0,124.0,,1
2017,계룡역,서울역,87,87.0,87.0,,1
2017,계룡역,용산역,77,82.0,81.11111111111111,105.0,9
2017,곡성역,서울역,150,153.5,153.5,642.0,2
2017,곡성역,용산역,132,139.0,144.66666666666666,137.6,6
2017,공주역,서울역,70,77.0,77.0,145.0,7
2017,공주역,용산역,59,67.0,65.66666666666667,63.142857142857146,15
2017,광명역,서울역,14,16.0,18.359375,22.285714285714285,64
2017,광명역,용산역,13,14.0,15.454545454545455,32.13953488372093,44
2017,광주송정역,서울역,103,122.0,126.85714285714286,145.83333333333334,7
2017,광주송정역,용산역,98,117.0,118.3913043478261,46.77272727272727,23
2017,구례구역,서울역,154,161.0,159.33333333333334,389.5,3
2017,구례구역,용산역,140,150.5,154.83333333333334,185.8,6
2017,구포역,서울역,162,170.5,170.625,138.28571428571428,8
2017,구포역,용산역,178,178.0,178.0,,1
2017,김천(구미)역,서울역,83,90.0,91.46153846153847,40.96,26
2017,김천(구미)역,용산역,84,88.5,87.75,273.3333333333333,4
2017,나주역,서울역,132,146.0,149.0,291.6666666666667,4
2017,나주역,용산역,110,129.5,131.21428571428572,76.46153846153847,14
2017,남원역,서울역,133,142.0,141.0,261.0,4
2017,남원역,용산역,118,129.0,133.71428571428572,77.3076923076923,14
2017,논산역,서울역,105,105.0,105.0,,1
2017,논산역,용산역,95,99.0,98.88888888888889,105.0,9
2017,대전역,서울역,53,66.0,67.57317073170732,17.45679012345679,82
2017,대전역,용산역,58,63.0,62.23076923076923,75.41666666666667,13
2017,동대구역,서울역,95,110.0,111.375,13.658227848101266,80
2017,동대구역,용산역,100,106.0,106.07692307692308,75.41666666666667,13
2017,마산역,서울역,168,182.0,181.45454545454547,90.3,11
2017,마산역,용산역,173,182.0,179.33333333333334,445.0,3
2017,목포역,서울역,139,173.0,169.4,218.75,5
2017,목포역,용산역,134,157.5,159.72222222222223,58.529411764705884,18
2017,밀양역,서울역,133,145.5,144.875,68.46666666666667,16
2017,밀양역,용산역,139,143.0,144.0,295.6666666666667,4
2017,부산역,서울역,135,162.0,164.91228070175438,19.553571428571427,57
2017,부산역,용산역,150,160.0,162.71428571428572,145.16666666666666,7
2017,서대전역,서울역,72,74.5,74.5,644.0,2
2017,서대전역,용산역,62,67.0,66.81818181818181,84.0,11
2017,수원역,서울역,27,30.0,30.25,229.33333333333334,4
2017,순천역,서울역,168,177.0,175.5,259.6666666666667,4
2017,순천역,용산역,148,163.5,166.92857142857142,77.53846153846153,14
2017,신경주역,서울역,116,130.0,130.66666666666666,62.0,18
2017,신경주역,용산역,124,125.5,125.5,86.0,2
2017,여수엑스포역,서울역,188,198.5,196.75,260.0,4
2017,여수엑스포역,용산역,168,184.0,188.14285714285714,77.6923076923077,14
2017,여천역,서울역,190,193.0,192.33333333333334,390.0,3
2017,여천역,용산역,169,179.5,181.1,103.33333333333333,10
2017,영등포역,서울역,9,9.0,9.0,691.0,2
2017,오송역,서울역,45,53.0,53.0,27.403846153846153,53
2017,오송역,용산역,44,51.0,51.25,33.54838709677419,32
2017,용산역,서울역,5,5.0,7.083333333333333,79.36363636363636,12
2017,울산역,서울역,129,139.5,142.63333333333333,37.37931034482759,30
2017,울산역,용산역,127,136.5,134.33333333333334,154.0,6
2017,익산역,서울역,74,95.0,94.54545454545455,86.9,11
2017,익산역,용산역,69,83.5,89.73809523809524,25.341463414634145,42
2017,전주역,서울역,106,115.5,114.25,261.3333333333333,4
2017,전주역,용산역,91,103.0,109.13333333333334,71.85714285714286,15
2017,정읍역,서울역,102,109.5,109.5,291.6666666666667,4
2017,정읍역,용산역,95,100.0,103.4,68.64285714285714,15
2017,진영역,서울역,157,165.0,165.25,202.66666666666666,4
2017,진영역,용산역,158,159.5,159.5,888.0,2
2017,진주역,서울역,193,209.0,206.42857142857142,138.33333333333334,7
2017,창원역,서울역,169,181.0,179.4,226.0,5
2017,창원역,용산역,177,177.0,177.0,891.0,2
2017,창원중앙역,서울역,157,170.0,168.25,98.57142857142857,8
2017,창원중앙역,용산역,162,165.5,165.5,448.0,2
2017,천안아산역,서울역,35,39.0,40.577777777777776,31.59090909090909,45
2017,천안아산역,용산역,34,38.0,39.0,35.925925925925924,28
2017,포항역,서울역,146,150.0,151.63636363636363,85.5,11
2017,포항역,용산역,141,142.0,143.0,365.0,3
2018,강릉역,서울역,113,119.0,118.94444444444444,60.0,18
2018,경산역,서울역,129,129.5,129.5,745.0,2
2018,계룡역,서울역,90,90.0,90.0,,1
2018,계룡역,용산역,77,82.0,81.44444444444444,105.0,9
2018,곡성역,서울역,145,150.0,150.66666666666666,321.0,3
2018,곡성역,용산역,132,140.0,145.0,137.6,6
2018,공주역,서울역,67,77.0,74.55555555555556,108.75,9
2018,공주역,용산역,61,66.0,66.2,63.142857142857146,15
2018,광명역,서울역,14,15.0,17.370786516853933,15.954545454545455,89
2018,광명역,용산역,13,15.0,15.513513513513514,37.638888888888886,37
2018,광주송정역,서울역,108,125.5,128.375,125.0,8
2018,광주송정역,용산역,98,117.0,118.43478260869566,46.77272727272727,23
2018,구례구역,서울역,152,161.0,158.66666666666666,389.5,3
2018,구례구역,용산역,140,149.5,154.33333333333334,185.8,6
2018,구포역,서울역,162,174.0,172.66666666666666,121.0,9
2018,김천(구미)역,서울역,83,90.0,90.2258064516129,34.13333333333333,31
2018,나주역,서울역,135,146.0,150.5,291.6666666666667,4
2018,나주역,용산역,110,129.5,130.5,76.46153846153847,14
2018,남원역,서울역,131,139.0,139.4,195.75,5
2018,남원역,용산역,118,129.0,133.0,77.3076923076923,14
2018,논산역,서울역,108,108.0,108.0,,1
2018,논산역,용산역,95,99.0,99.22222222222223,105.0,9
2018,대전역,서울역,53,66.0,66.9578947368421,15.042553191489361,95
2018,동대구역,서울역,95,110.0,110.90322580645162,11.728260869565217,93
2018,둔내역,서울역,80,83.0,83.44444444444444,120.625,9
