region_sido,region_sigungu,lon_epsg_4326,lat_epsg_4326
전남,무안군,126.4251092452614,34.95390227603814
전남,보성군,127.16248554897044,34.81421264743598
전남,순천시,127.38944121560232,34.994521149101914
전남,신안군,126.04263487409996,34.81000982584619
전남,여수시,127.65210534485897,34.69731912433901
전남,영광군,126.45047987191116,35.27891174753092
전남,영암군,126.62354864187844,34.79601647874793
전남,완도군,126.77770536752654,34.294540286492946
전남,장성군,126.7685531604007,35.32956882814481
전남,장흥군,126.92203828480629,34.674995908818
전남,진도군,126.21156679828141,34.436951343039574
전남,함평군,126.53546762187139,35.11266559653462
전남,해남군,126.51147347136809,34.55836201359808
전남,화순군,127.03343351316308,35.00818571842076
전북,고창군,126.61574549806065,35.44897069476713
전북,군산시,126.71629956531528,35.94907861282144
전북,김제시,126.89464660563348,35.80670050862453
전북,남원시,127.44188919978349,35.422545685932185
전북,무주군,127.712953057562,35.93936726804315
전북,부안군,126.63975742232623,35.68499490841966
전북,순창군,127.09008136400843,35.433631986011115
전북,완주군,127.2151098292605,35.91858334200786
전북,익산시,126.98951085274552,36.023105930656826
전북,임실군,127.23664209394764,35.59820302242345
전북,장수군,127.54425258232985,35.65745751808529
전북,전주시 덕진구,127.1117541010395,35.858322593894094
전북,전주시 완산구,127.12076534006181,35.791250514467364
전북,정읍시,126.90585453659335,35.602630845473435
전북,진안군,127.430032742409,35.82879687541821
제주,서귀포시,126.58096054451283,33.32442513242782
제주,제주시,126.5291169658464,33.44314298160919
충남,계룡시,127.23442635458638,36.29159358328218
충남,금산군,127.47831187189804,36.1190007904364
충남,논산시,127.15771686056833,36.190886899371165
충남,당진시,126.65223871892697,36.90449427010514
충남,보령시,126.59051386947188,36.3397757152492
충남,부여군,126.85696792053409,36.246383934890076
충남,서산시,126.46310466767316,36.78488899141014
충남,서천군,126.7035625552135,36.10676730718978
충남,아산시,126.98004633418206,36.80734330913863
충남,예산군,126.78431501630206,36.670622610929904
충남,천안시,127.20253902273808,36.804116312247515
충남,청양군,126.85311275519301,36.430582897967554
충남,태안군,126.27944816864358,36.70723620155463
충남,홍성군,126.62572070638439,36.57007012981775
충북,괴산군,127.82957492501365,36.76968873443021
충북,단양군,128.38784193608535,36.99444945709749
충북,보은군,127.72933512835809,36.48994936444203
충북,영동군,127.8142293024951,36.159658703736305
충북,옥천군,127.65655886364148,36.32045441610801
충북,음성군,127.61420747338086,36.97622265850501
충북,제천시,128.14095818411283,37.059910283687756
충북,증평군,127.60461881420818,36.786472828199784
충북,진천군,127.4404642865583,36.87099976311951
충북,충주시,127.89566232382093,37.015196901881055
