요양기관명,요양종별,시도명,시군구명,폐업일자
(의)대선의료재단으뜸재활의학병원,병원,경기,안산시 상록구,2011-09-01
(의)대양의료재단서부산병원,병원,부산,사상구,2006-12-12
(의)동민의료재단횡성제일병원,병원,강원,횡성군,2007-06-11
(의)동아의료재단동아병원,병원,전북,김제시,2019-03-09
(의)두일의료재단경회의원,의원,경기,부천시,2008-07-01
(의)두일의료재단경회한의원,한의원,경기,부천시,2008-07-01
(의)루가의료재단새롬성모병원,병원,인천,서구,2004-01-07
(의)명지의료재단명지엘펜하임의원,의원,경기,용인시 처인구,2010-08-09
(의)박애의료재단박애치과의원,치과의원,경기,평택시,2009-06-30
(의)박애의료재단박애한의원,한의원,경기,평택시,2004-09-02
(의)백송의료재단굿모닝소아과의원,의원,경기,평택시,2003-02-09
(의)백송의료재단성심한의원,한의원,경기,평택시,2013-06-30
(의)백천의료재단 우리네요양병원,요양병원,경남,김해시,2023-04-10
(의)벧엘의료재단우리한의원,한의원,경기,안양시 만안구,2003-09-30
(의)보명의료재단시민사랑의원,의원,경기,광주시,2003-04-02
(의)보은의료재단보은병원,병원,인천,서구,2019-07-30
(의)사랑나눔의료재단에보스의원,의원,부산,부산진구,2017-06-07
(의)삼대의료재단 오복당요양병원,요양병원,부산,남구,2017-06-23
(의)삼성의료재단강북삼성수원정보통신의원,의원,경기,수원시 영통구,2010-08-13
(의)삼성의료재단강북삼성한울림의원,의원,경기,수원시 영통구,2014-05-01
(의)삼송의료재단김포효병원,병원,경기,김포시,2005-11-01
(의)상록의료재단상록병원,병원,경기,안산시 상록구,2007-04-05
(의)새생명의료재단 새생명의원,의원,서울,노원구,2020-07-08
(의)새생명의료재단 서울새생명의원,의원,서울,노원구,2024-07-08
(의)서원의료재단김형근의원,의원,경기,안양시 동안구,2013-10-01
(의)서일의료재단청십자한의원,한의원,부산,사상구,2001-09-19
(의)서호의료재단 서호광안요양병원,요양병원,부산,수영구,2022-06-01
(의)성광의료재단차한의원,한의원,서울,강남구,2010-10-15
(의)성덕의료재단 간절곶자연요양병원,요양병원,울산,울주군,2023-08-21
(의)성림의료재단메디웰병원,병원,경기,평택시,2014-01-02
